IONS
name   mass  charge  temp.(eV)  n/n0
-------------------------------------
[He+]  4.0026d0    1.   0.1      1.
[He2+]	4.0026d0   2.	0.1	 0.
-------------------------------------

NEUTRALS
name   mass  charge  temp.(eV)  n/n0
-------------------------------------
[He]  4.0026d0     0.   0.1      1.
-------------------------------------

REACTION
[e]+[He+]->[e]+[He+]
 0.    0.  
 1.    12.5
COLLISION
------------------------------------------------------------
PROCESS: He+ + He -> , Backscat
PARAM.:  Mi = 4.0026, Mi/M = 1, complete set
COMMENT: He+ in He: Phelps, private communication. Qb =
COMMENT: 1E-19*(Erel/1000)^(-0.15)*[1+Erel/1000]^(-0.25)*[1+5/Erel]^(-0.15)
COMMENT: 1E-19*(col(A)/1000)^(-0.15)*(1+col(A)/1000)^(-0.25)*(1+5/col(A))^(-0.15).
Updated: 2011-10-30 07:03:24
Energy (eV) | Cross section (m2)
-----------------------------
 0.000000e+0	2.213880e-19
 1.000000e-4	2.213880e-19
 1.200000e-4	2.213870e-19
 1.400000e-4	2.213870e-19
 1.600000e-4	2.213870e-19
 1.900000e-4	2.213870e-19
 2.200000e-4	2.213870e-19
 2.600000e-4	2.213860e-19
